sample,block,ctrltmt,dist,depth,OCC,fraction,mass
1,1,tmt,2.5,0.05,42.69142443,S+A,63.42268328
2,1,tmt,2.5,0.30,23.99880249,S+A,61.85376796
3,1,tmt,2.5,0.83,6.365527626,S+A,7.424818384
4,2,tmt,2.5,0.05,32.7616821,S+A,45.8964378
5,2,tmt,2.5,0.30,25.73549787,S+A,34.1341814
6,2,tmt,2.5,0.83,28.34192545,S+A,46.17114211
7,3,tmt,2.5,0.05,44.78712006,S+A,61.05548114
8,3,tmt,2.5,0.30,30.08457546,S+A,47.66321208
9,3,tmt,2.5,0.83,39.40782112,S+A,43.61064328
10,1,ctrl,C,0.05,40.54761138,S+A,49.82295639
11,1,ctrl,C,0.30,38.45436826,S+A,48.85113323
12,1,ctrl,C,0.83,56.96867045,S+A,60.31065702
13,2,ctrl,C,0.05,44.40194655,S+A,55.40655616
14,2,ctrl,C,0.30,27.95762158,S+A,41.03541968
15,2,ctrl,C,0.83,55.67568146,S+A,62.76084121
16,3,ctrl,C,0.05,35.91009724,S+A,51.896413
17,3,ctrl,C,0.30,32.08947334,S+A,45.77
18,3,ctrl,C,0.83,55.34299339,S+A,58.83
1,1,tmt,2.5,0.05,4.872840473,POM,1.439810483
2,1,tmt,2.5,0.30,3.591068728,POM,0.804123259
3,1,tmt,2.5,0.83,2.834404774,POM,0.642766215
4,2,tmt,2.5,0.05,6.542356091,POM,1.00922032
5,2,tmt,2.5,0.30,1.081456825,POM,0.314909515
6,2,tmt,2.5,0.83,2.78196048,POM,0.757908522
7,3,tmt,2.5,0.05,5.147575848,POM,1.063155144
8,3,tmt,2.5,0.30,1.441404485,POM,0.302579906
9,3,tmt,2.5,0.83,1.878168657,POM,0.690466401
10,1,ctrl,C,0.05,4.634493012,POM,2.335701736
11,1,ctrl,C,0.30,1.3095939,POM,0.659757112
12,1,ctrl,C,0.83,1.240426973,POM,0.182853482
13,2,ctrl,C,0.05,8.155638651,POM,3.921383859
14,2,ctrl,C,0.30,2.218160553,POM,0.444954381
15,2,ctrl,C,0.83,1.812215742,POM,0.319543581
16,3,ctrl,C,0.05,8.763182648,POM,3.948981869
17,3,ctrl,C,0.30,2.223252237,POM,0.41
18,3,ctrl,C,0.83,2.137758279,POM,0.28
1,1,tmt,2.5,0.05,42.26391218,s+c-rSOC,4.313510257
2,1,tmt,2.5,0.30,53.99926065,s+c-rSOC,1.758509028
3,1,tmt,2.5,0.83,-8.507696877,s+c-rSOC,15.66876619
4,2,tmt,2.5,0.05,46.87902445,s+c-rSOC,7.198131842
5,2,tmt,2.5,0.30,66.04833199,s+c-rSOC,5.348728136
6,2,tmt,2.5,0.83,59.40824099,s+c-rSOC,1.98477056
7,3,tmt,2.5,0.05,38.62038538,s+c-rSOC,4.83664013
8,3,tmt,2.5,0.30,54.11053681,s+c-rSOC,3.935210701
9,3,tmt,2.5,0.83,49.89561313,s+c-rSOC,7.195367686
10,1,ctrl,C,0.05,43.04397641,s+c-rSOC,6.290560324
11,1,ctrl,C,0.30,49.24464586,s+c-rSOC,6.184641299
12,1,ctrl,C,0.83,24.72275416,s+c-rSOC,7.056842869
13,2,ctrl,C,0.05,35.00363339,s+c-rSOC,3.74347818
14,2,ctrl,C,0.30,58.84549337,s+c-rSOC,5.17103085
15,2,ctrl,C,0.83,33.54032227,s+c-rSOC,3.924039634
16,3,ctrl,C,0.05,40.71869461,s+c-rSOC,4.718568879
17,3,ctrl,C,0.30,54.55601147,s+c-rSOC,2.481814338
18,3,ctrl,C,0.83,34.35682158,s+c-rSOC,5.892996216
1,1,tmt,2.5,0.05,8.861284057,rSOC,30.79074801
2,1,tmt,2.5,0.30,17.30580364,rSOC,35.56494789
3,1,tmt,2.5,0.83,98.94853641,rSOC,76.26070018
4,2,tmt,2.5,0.05,12.90547999,rSOC,45.86838758
5,2,tmt,2.5,0.30,5.924971399,rSOC,60.18930216
6,2,tmt,2.5,0.83,8.43736753,rSOC,51.08172653
7,3,tmt,2.5,0.05,10.72208979,rSOC,33.02518339
8,3,tmt,2.5,0.30,13.52860999,rSOC,48.09134116
9,3,tmt,2.5,0.83,8.326367776,rSOC,48.50007379
10,1,ctrl,C,0.05,10.97941577,rSOC,41.52715763
11,1,ctrl,C,0.30,9.987524357,rSOC,44.29001188
12,1,ctrl,C,0.83,16.59359735,rSOC,32.44570772
13,2,ctrl,C,0.05,11.880434,rSOC,36.9114999
14,2,ctrl,C,0.30,9.903482283,rSOC,53.33714967
15,2,ctrl,C,0.83,8.362254302,rSOC,32.99099989
16,3,ctrl,C,0.05,13.66641338,rSOC,39.40878823
17,3,ctrl,C,0.30,10.20602519,rSOC,51.33
18,3,ctrl,C,0.83,7.640895797,rSOC,35
1,1,tmt,2.5,0.05,1.310538859,DOC,0.033247974
2,1,tmt,2.5,0.30,1.105064488,DOC,0.01865186
3,1,tmt,2.5,0.83,0.359228069,DOC,0.002949031
4,2,tmt,2.5,0.05,0.911457365,DOC,0.027822454
5,2,tmt,2.5,0.30,1.209741913,DOC,0.012878788
6,2,tmt,2.5,0.83,1.030505542,DOC,0.004452275
7,3,tmt,2.5,0.05,0.722828921,DOC,0.019540204
8,3,tmt,2.5,0.30,0.834873243,DOC,0.007656156
9,3,tmt,2.5,0.83,0.492029309,DOC,0.003448841
10,1,ctrl,C,0.05,0.794503422,DOC,0.023623924
11,1,ctrl,C,0.30,1.003867623,DOC,0.014456479
12,1,ctrl,C,0.83,0.474551067,DOC,0.003938911
13,2,ctrl,C,0.05,0.558347412,DOC,0.017081897
14,2,ctrl,C,0.30,1.075242216,DOC,0.011445421
15,2,ctrl,C,0.83,0.609526234,DOC,0.004575683
16,3,ctrl,C,0.05,0.941612123,DOC,0.027248015
17,3,ctrl,C,0.30,0.925237758,DOC,0.008780042
18,3,ctrl,C,0.83,0.521530958,DOC,0.00382736
